supplier,origin,horizon,unit,all_observed_qty,eligible_qty,eligible_series
IEK,2025-07-01,7,м,13239.0,13209.0,89
IEK,2025-07-01,7,упак,815.0,815.0,57
IEK,2025-07-01,7,шт,21818.0,21699.0,1265
IEK,2025-07-01,28,м,65054.0,65002.0,89
IEK,2025-07-01,28,упак,3326.0,3325.0,57
IEK,2025-07-01,28,шт,127946.0,127281.0,1265
IEK,2025-08-01,7,м,12324.0,12316.0,96
IEK,2025-08-01,7,упак,1184.0,1184.0,59
IEK,2025-08-01,7,шт,46030.0,45885.0,1355
IEK,2025-08-01,28,м,58066.0,58048.0,96
IEK,2025-08-01,28,упак,3217.0,3213.0,59
IEK,2025-08-01,28,шт,146453.0,145823.0,1355
IEK,2025-09-01,7,м,13683.0,13681.0,98
IEK,2025-09-01,7,упак,642.0,642.0,59
IEK,2025-09-01,7,шт,24547.0,24509.0,1445
IEK,2025-09-01,28,м,53707.0,53299.0,98
IEK,2025-09-01,28,упак,4130.0,4122.0,59
IEK,2025-09-01,28,шт,135441.0,134735.0,1445
IEK,2025-10-01,7,м,16353.0,16353.0,101
IEK,2025-10-01,7,упак,824.0,824.0,61
IEK,2025-10-01,7,шт,32539.0,32452.0,1530
IEK,2025-10-01,28,м,57995.0,57079.0,101
IEK,2025-10-01,28,упак,4310.0,4309.0,61
IEK,2025-10-01,28,шт,130092.0,129814.0,1530
IEK,2025-11-01,7,м,6264.0,5957.0,102
IEK,2025-11-01,7,упак,1123.0,1122.0,64
IEK,2025-11-01,7,шт,25331.0,25057.0,1575
IEK,2025-11-01,28,м,37825.0,37392.0,102
IEK,2025-11-01,28,упак,4437.0,4436.0,64
IEK,2025-11-01,28,шт,130488.0,129542.0,1575
IEK,2025-12-01,7,м,10494.0,10494.0,102
IEK,2025-12-01,7,упак,1233.0,1233.0,65
IEK,2025-12-01,7,шт,34836.0,34748.0,1619
IEK,2025-12-01,28,м,35245.0,35245.0,102
IEK,2025-12-01,28,упак,3610.0,3609.0,65
IEK,2025-12-01,28,шт,132532.0,131784.0,1619
IEK,2026-01-01,7,м,2664.0,2660.0,104
IEK,2026-01-01,7,упак,64.0,64.0,66
IEK,2026-01-01,7,шт,4319.0,4270.0,1668
IEK,2026-01-01,28,м,18894.0,18883.0,104
IEK,2026-01-01,28,упак,2380.0,2378.0,66
IEK,2026-01-01,28,шт,84872.0,84667.0,1668
IEK,2026-02-01,7,м,5430.0,5430.0,105
IEK,2026-02-01,7,упак,1097.0,1097.0,67
IEK,2026-02-01,7,шт,21257.0,21232.0,1707
IEK,2026-02-01,28,м,19119.0,19111.0,105
IEK,2026-02-01,28,упак,2560.0,2558.0,67
IEK,2026-02-01,28,шт,93576.0,93346.0,1707
IEK,2026-03-01,7,м,9194.0,9194.0,107
IEK,2026-03-01,7,упак,640.0,639.0,67
IEK,2026-03-01,7,шт,30674.0,30651.0,1754
IEK,2026-03-01,28,м,26239.0,26238.0,107
IEK,2026-03-01,28,упак,1880.0,1879.0,67
IEK,2026-03-01,28,шт,95845.0,95746.0,1754
IEK,2026-04-01,7,м,6941.0,6941.0,108
IEK,2026-04-01,7,упак,328.0,327.0,68
IEK,2026-04-01,7,шт,18295.0,18232.0,1796
IEK,2026-04-01,28,м,30755.0,30745.0,108
